国家,确诊,治愈,死亡,日期
直布罗陀,35,0,0,2020-03-28
瓜德罗普岛,76,0,0,2020-03-28
布基纳法索,180,12,9,2020-03-28
百慕大,7,0,0,2020-03-28
冰岛,890,82,2,2020-03-28
乌干达,23,0,0,2020-03-28
特立尼达和多巴哥,61,0,1,2020-03-28
缅甸,8,0,0,2020-03-28
越南,174,21,0,2020-03-28
巴哈马,5,0,0,2020-03-28
阿鲁巴,19,0,0,2020-03-28
塞舌尔,7,0,0,2020-03-28
巴巴多斯,18,0,0,2020-03-28
摩纳哥,42,1,0,2020-03-28
法属波利尼西亚,30,0,0,2020-03-28
不丹,3,0,0,2020-03-28
安提瓜和巴布达,3,0,0,2020-03-28
特克斯和凯科斯群岛,2,0,0,2020-03-28
冈比亚,3,0,1,2020-03-28
柬埔寨,98,2,0,2020-03-28
圣马丁岛,11,0,0,2020-03-28
伯利兹,2,0,0,2020-03-28
圣文森特和格林纳丁斯,1,0,0,2020-03-28
斐济,5,0,0,2020-03-28
库拉索岛,7,0,1,2020-03-28
东帝汶,1,0,0,2020-03-28
格林那达,7,0,0,2020-03-28
圣卢西亚,3,0,0,2020-03-28
新喀里多尼亚,14,0,0,2020-03-28
老挝,6,0,0,2020-03-28
多米尼克,11,0,0,2020-03-28
圣其茨和尼维斯,2,0,0,2020-03-28
列支敦士登,56,0,0,2020-03-28
格陵兰,6,0,0,2020-03-28
梵蒂冈,4,0,0,2020-03-28
蒙特塞拉特,2,0,0,2020-03-28
巴布亚新几内亚,1,0,0,2020-03-28
文莱,120,25,1,2020-03-28
英属维尔京群岛,2,0,0,2020-03-28
圣巴泰勒米岛,3,0,0,2020-03-28
安圭拉,2,0,0,2020-03-28
新西兰,451,50,0,2020-03-28
圣巴泰勒米,3,0,0,2020-03-28
中国,160145,146610,6559,2020-03-29
美国,124686,2612,2191,2020-03-29
巴西,3904,0,92,2020-03-29
印度,1024,95,27,2020-03-29
英国,19522,135,1228,2020-03-29
俄罗斯,1534,64,8,2020-03-29
孟加拉国,48,11,5,2020-03-29
秘鲁,671,14,16,2020-03-29
墨西哥,858,1,16,2020-03-29
西班牙,78797,12285,6528,2020-03-29
巴基斯坦,1500,25,12,2020-03-29
阿根廷,745,1,19,2020-03-29
埃及,576,121,36,2020-03-29
沙特阿拉伯,1299,66,8,2020-03-29
菲律宾,1418,42,71,2020-03-29
印度尼西亚,1285,35,114,2020-03-29
荷兰,10866,2954,771,2020-03-29
伊拉克,547,143,42,2020-03-29
加拿大,5867,345,63,2020-03-29
乌克兰,418,5,9,2020-03-29
哈萨克斯坦,271,16,1,2020-03-29
危地马拉,25,0,1,2020-03-29
以色列,3865,89,12,2020-03-29
伊朗,38309,12391,2640,2020-03-29
阿曼,167,23,0,2020-03-29
尼日利亚,97,3,1,2020-03-29
土耳其,7402,70,108,2020-03-29
阿富汗,117,0,2,2020-03-29
亚美尼亚,424,30,3,2020-03-29
罗马尼亚,1292,115,24,2020-03-29
科威特,255,64,0,2020-03-29
阿联酋,468,55,2,2020-03-29
阿塞拜疆,182,15,4,2020-03-29
波兰,1638,13,18,2020-03-29
白俄罗斯,94,22,0,2020-03-29
肯尼亚,42,1,1,2020-03-29
吉尔吉斯斯坦,84,0,0,2020-03-29
巴勒斯坦,104,18,1,2020-03-29
摩尔多瓦,231,10,2,2020-03-29
乌兹别克斯坦,133,0,2,2020-03-29
尼泊尔,5,1,0,2020-03-29
萨尔瓦多,13,0,0,2020-03-29
日本,1893,404,56,2020-03-29
新加坡,844,183,3,2020-03-29
德国,58101,8481,474,2020-03-29
捷克,2669,11,13,2020-03-29
波黑,233,5,4,2020-03-29
保加利亚,313,3,3,2020-03-29
苏丹,5,0,1,2020-03-29
巴林,499,272,4,2020-03-29
卢森堡,1831,0,18,2020-03-29
加纳,152,2,5,2020-03-29
埃塞俄比亚,16,4,0,2020-03-29
毛里塔尼亚,5,0,0,2020-03-29
塞内加尔,142,27,0,2020-03-29
摩洛哥,437,12,26,2020-03-29
阿尔巴尼亚,212,10,10,2020-03-29
瑞士,14336,1530,257,2020-03-29
几内亚比绍,2,0,0,2020-03-29
韩国,9583,5033,152,2020-03-29
利比亚,1,0,0,2020-03-29
立陶宛,382,1,7,2020-03-29
拉脱维亚,305,0,0,2020-03-29
爱沙尼亚,640,20,1,2020-03-29
匈牙利,408,34,13,2020-03-29
塞浦路斯,214,0,6,2020-03-29
安哥拉,5,0,0,2020-03-29
叙利亚,6,0,1,2020-03-29
芬兰,1163,10,9,2020-03-29
斯洛文尼亚,632,0,9,2020-03-29
尼日尔,10,0,1,2020-03-29
格鲁吉亚,90,18,0,2020-03-29
圭亚那,31,0,0,2020-03-29
泰国,1388,97,7,2020-03-29
钻石公主号邮轮,712,574,10,2020-03-29
乌拉圭,238,6,0,2020-03-29
毛里求斯,107,0,2,2020-03-29
南非,1187,1,2,2020-03-29
哥伦比亚,608,10,6,2020-03-29
瑞典,3447,17,102,2020-03-29
法国,37575,5700,2314,2020-03-29
厄瓜多尔,1595,0,36,2020-03-29
玻利维亚,61,0,0,2020-03-29
比利时,10836,350,431,2020-03-29
巴拿马,901,0,17,2020-03-29
多米尼加,581,0,20,2020-03-29
洪都拉斯,68,0,1,2020-03-29
智利,1909,43,6,2020-03-29
葡萄牙,5962,22,119,2020-03-29
意大利,93051,12384,10023,2020-03-29
波多黎各,64,0,2,2020-03-29
塞尔维亚,741,0,13,2020-03-29
委内瑞拉,107,0,1,2020-03-29
哥斯达黎加,295,0,2,2020-03-29
法属圭亚那,31,0,0,2020-03-29
科特迪瓦,101,3,0,2020-03-29
海地,8,0,0,2020-03-29
阿尔及利亚,454,29,29,2020-03-29
刚果（金）,65,3,6,2020-03-29
北马其顿,219,1,3,2020-03-29
喀麦隆,113,2,2,2020-03-29
卡塔尔,590,45,1,2020-03-29
中非共和国,6,0,0,2020-03-29
马达加斯加,43,0,0,2020-03-29
丹麦,2201,1,65,2020-03-29
马约特,50,0,0,2020-03-29
尼加拉瓜,2,0,1,2020-03-29
加蓬,7,0,1,2020-03-29
澳大利亚,3809,119,16,2020-03-29
希腊,1156,19,38,2020-03-29
巴拉圭,52,0,3,2020-03-29
赤道几内亚,13,0,0,2020-03-29
索马里,3,0,0,2020-03-29
奥地利,7697,225,68,2020-03-29
古巴,80,0,2,2020-03-29
刚果（布）,19,0,0,2020-03-29
吉布提,14,0,0,2020-03-29
佛得角,5,1,1,2020-03-29
几内亚,13,0,0,2020-03-29
黑山,75,0,1,2020-03-29
克罗地亚,586,37,3,2020-03-29
贝宁,6,0,0,2020-03-29
黎巴嫩,438,30,10,2020-03-29
莫桑比克,8,0,0,2020-03-29
纳米比亚,11,0,0,2020-03-29
乍得,5,0,0,2020-03-29
马里,18,0,1,2020-03-29
赞比亚共和国,29,0,0,2020-03-29
牙买加,26,0,1,2020-03-29
斯威士兰,9,0,0,2020-03-29
津巴布韦,7,0,1,2020-03-29
卢旺达,60,0,0,2020-03-29
斯里兰卡,113,6,1,2020-03-29
圣马力诺,242,2,21,2020-03-29
多哥,25,1,1,2020-03-29
留尼旺,135,0,0,2020-03-29
挪威,3981,0,22,2020-03-29
爱尔兰,2415,0,36,2020-03-29
斯洛伐克,314,7,0,2020-03-29
约旦,246,18,1,2020-03-29
安道尔,334,6,6,2020-03-29
坦桑尼亚,14,1,0,2020-03-29
马恩岛,29,0,0,2020-03-29
关岛,51,0,1,2020-03-29
马耳他,139,0,0,2020-03-29
泽西岛,52,0,1,2020-03-29
马来西亚,2470,388,34,2020-03-29
苏里南,8,0,0,2020-03-29
突尼斯,278,0,6,2020-03-29
马提尼克,93,0,1,2020-03-29
根西岛,36,0,0,2020-03-29
蒙古,12,0,0,2020-03-29
开曼群岛,8,0,1,2020-03-29
厄立特里亚,6,0,0,2020-03-29
法罗群岛,144,0,0,2020-03-29
直布罗陀,55,0,0,2020-03-29
瓜德罗普岛,96,0,2,2020-03-29
布基纳法索,207,21,11,2020-03-29
百慕大,15,0,0,2020-03-29
冰岛,963,97,2,2020-03-29
乌干达,30,0,0,2020-03-29
特立尼达和多巴哥,66,0,2,2020-03-29
缅甸,8,0,0,2020-03-29
越南,188,25,0,2020-03-29
巴哈马,9,0,0,2020-03-29
阿鲁巴,28,0,0,2020-03-29
巴巴多斯,24,0,0,2020-03-29
摩纳哥,43,1,0,2020-03-29
法属波利尼西亚,30,0,0,2020-03-29
不丹,3,0,0,2020-03-29
安提瓜和巴布达,7,0,0,2020-03-29
特克斯和凯科斯群岛,2,0,0,2020-03-29
柬埔寨,103,21,0,2020-03-29
圣马丁岛,11,0,0,2020-03-29
伯利兹,2,0,0,2020-03-29
斐济,5,0,0,2020-03-29
库拉索岛,7,0,1,2020-03-29
格林那达,7,0,0,2020-03-29
新喀里多尼亚,15,0,0,2020-03-29
老挝,6,0,0,2020-03-29
多米尼克,11,0,0,2020-03-29
圣其茨和尼维斯,2,0,0,2020-03-29
列支敦士登,60,0,0,2020-03-29
格陵兰,9,0,0,2020-03-29
梵蒂冈,6,0,0,2020-03-29
蒙特塞拉特,5,0,0,2020-03-29
文莱,126,34,1,2020-03-29
英属维尔京群岛,2,0,0,2020-03-29
圣巴泰勒米岛,5,0,0,2020-03-29
安圭拉,2,0,0,2020-03-29
新西兰,514,50,0,2020-03-29
圣巴泰勒米,5,0,0,2020-03-29
中国,159216,146211,6555,2020-03-30
美国,143101,4865,2517,2020-03-30
巴西,4256,0,136,2020-03-30
印度,1414,95,122,2020-03-30
英国,22141,135,1408,2020-03-30
俄罗斯,1836,66,9,2020-03-30
孟加拉国,49,19,5,2020-03-30
秘鲁,852,14,18,2020-03-30
墨西哥,993,1,20,2020-03-30
西班牙,85195,14709,7340,2020-03-30
巴基斯坦,1625,28,18,2020-03-30
阿根廷,820,1,80,2020-03-30
埃及,609,132,40,2020-03-30
沙特阿拉伯,1453,115,8,2020-03-30
菲律宾,1546,42,78,2020-03-30
印度尼西亚,1414,64,122,2020-03-30
荷兰,11750,2954,864,2020-03-30
伊拉克,547,143,42,2020-03-30
加拿大,6671,345,66,2020-03-30
乌克兰,480,6,11,2020-03-30
哈萨克斯坦,302,21,1,2020-03-30
危地马拉,32,0,1,2020-03-30
以色列,4347,139,81,2020-03-30
伊朗,41495,12391,2640,2020-03-30
阿曼,179,29,0,2020-03-30
尼日利亚,111,3,1,2020-03-30
土耳其,9217,105,131,2020-03-30
阿富汗,145,0,4,2020-03-30
亚美尼亚,481,30,3,2020-03-30
罗马尼亚,1815,206,43,2020-03-30
科威特,266,72,0,2020-03-30
阿联酋,611,61,5,2020-03-30
阿塞拜疆,273,26,4,2020-03-30
波兰,1862,13,22,2020-03-30
白俄罗斯,94,22,0,2020-03-30
肯尼亚,50,1,1,2020-03-30
吉尔吉斯斯坦,84,0,0,2020-03-30
巴勒斯坦,106,18,1,2020-03-30
摩尔多瓦,231,10,2,2020-03-30
乌兹别克斯坦,149,7,2,2020-03-30
尼泊尔,5,1,0,2020-03-30
萨尔瓦多,19,0,0,2020-03-30
日本,1944,404,58,2020-03-30
新加坡,879,183,3,2020-03-30
德国,58101,8481,474,2020-03-30
捷克,2837,11,17,2020-03-30
波黑,324,8,6,2020-03-30
保加利亚,338,3,7,2020-03-30
苏丹,6,0,2,2020-03-30
巴林,515,279,4,2020-03-30
卢森堡,1988,0,22,2020-03-30
加纳,152,2,5,2020-03-30
埃塞俄比亚,23,3,0,2020-03-30
毛里塔尼亚,5,2,0,2020-03-30
塞内加尔,162,27,0,2020-03-30
摩洛哥,516,13,26,2020-03-30
阿尔巴尼亚,212,10,10,2020-03-30
瑞士,14799,1823,300,2020-03-30
几内亚比绍,2,0,0,2020-03-30
韩国,9661,5228,158,2020-03-30
利比亚,3,0,0,2020-03-30
立陶宛,437,1,7,2020-03-30
拉脱维亚,347,0,0,2020-03-30
爱沙尼亚,679,20,3,2020-03-30
匈牙利,447,34,15,2020-03-30
塞浦路斯,214,0,6,2020-03-30
安哥拉,7,0,2,2020-03-30
叙利亚,10,0,1,2020-03-30
芬兰,1218,10,11,2020-03-30
斯洛文尼亚,691,0,9,2020-03-30
尼日尔,10,0,1,2020-03-30
格鲁吉亚,98,18,0,2020-03-30
圭亚那,31,0,1,2020-03-30
泰国,1524,127,9,2020-03-30
美属维尔京群岛,17,0,0,2020-03-30
钻石公主号邮轮,712,574,10,2020-03-30
乌拉圭,309,6,1,2020-03-30
毛里求斯,110,0,2,2020-03-30
南非,1280,1,2,2020-03-30
哥伦比亚,608,10,6,2020-03-30
瑞典,3700,17,110,2020-03-30
法国,40174,7132,2606,2020-03-30
厄瓜多尔,1890,0,57,2020-03-30
玻利维亚,74,0,0,2020-03-30
比利时,11899,1527,513,2020-03-30
巴拿马,989,4,24,2020-03-30
多米尼加,581,0,20,2020-03-30
洪都拉斯,139,0,3,2020-03-30
智利,2139,75,7,2020-03-30
葡萄牙,6408,22,140,2020-03-30
意大利,97689,13030,10779,2020-03-30
波多黎各,64,0,2,2020-03-30
塞尔维亚,785,0,16,2020-03-30
委内瑞拉,113,0,2,2020-03-30
哥斯达黎加,295,0,2,2020-03-30
法属圭亚那,31,0,0,2020-03-30
科特迪瓦,165,4,1,2020-03-30
海地,8,0,0,2020-03-30
阿尔及利亚,511,29,31,2020-03-30
刚果（金）,81,3,8,2020-03-30
北马其顿,257,1,6,2020-03-30
喀麦隆,142,3,2,2020-03-30
卡塔尔,634,48,1,2020-03-30
中非共和国,6,0,0,2020-03-30
马达加斯加,43,0,0,2020-03-30
丹麦,2555,1,72,2020-03-30
马约特,50,0,0,2020-03-30
尼加拉瓜,4,0,1,2020-03-30
加蓬,7,0,1,2020-03-30
澳大利亚,4245,119,16,2020-03-30
希腊,1156,19,38,2020-03-30
巴拉圭,64,0,3,2020-03-30
赤道几内亚,14,0,0,2020-03-30
索马里,3,0,0,2020-03-30
奥地利,8536,225,68,2020-03-30
古巴,119,0,3,2020-03-30
刚果（布）,19,0,0,2020-03-30
吉布提,25,0,0,2020-03-30
佛得角,5,1,1,2020-03-30
几内亚,16,1,0,2020-03-30
黑山,85,0,1,2020-03-30
克罗地亚,713,37,5,2020-03-30
贝宁,6,0,0,2020-03-30
黎巴嫩,446,32,11,2020-03-30
莫桑比克,8,0,0,2020-03-30
纳米比亚,11,0,0,2020-03-30
乍得,5,0,0,2020-03-30
马里,25,0,2,2020-03-30
赞比亚共和国,35,0,0,2020-03-30
牙买加,30,0,1,2020-03-30
斯威士兰,9,0,0,2020-03-30
津巴布韦,7,0,1,2020-03-30
卢旺达,70,0,0,2020-03-30
斯里兰卡,122,6,1,2020-03-30
圣马力诺,242,2,22,2020-03-30
利比里亚,3,0,0,2020-03-30
多哥,30,7,1,2020-03-30
留尼旺,143,0,0,2020-03-30
挪威,4284,0,26,2020-03-30
爱尔兰,2615,0,46,2020-03-30
马尔代夫,17,11,0,2020-03-30
斯洛伐克,336,7,0,2020-03-30
约旦,259,18,2,2020-03-30
安道尔,334,6,6,2020-03-30
坦桑尼亚,19,1,0,2020-03-30
马恩岛,32,0,0,2020-03-30
关岛,56,0,1,2020-03-30
马耳他,139,0,0,2020-03-30
泽西岛,61,0,1,2020-03-30
马来西亚,2626,388,34,2020-03-30
苏里南,8,0,0,2020-03-30
突尼斯,312,0,8,2020-03-30
马提尼克,93,0,1,2020-03-30
根西岛,39,0,0,2020-03-30
蒙古,12,0,0,2020-03-30
开曼群岛,8,0,1,2020-03-30
厄立特里亚,12,0,0,2020-03-30
法罗群岛,168,0,0,2020-03-30
直布罗陀,56,0,0,2020-03-30
瓜德罗普岛,96,0,2,2020-03-30
布基纳法索,222,23,12,2020-03-30
百慕大,17,0,0,2020-03-30
冰岛,1020,124,2,2020-03-30
乌干达,33,0,0,2020-03-30
特立尼达和多巴哥,74,0,2,2020-03-30
缅甸,14,0,0,2020-03-30
越南,203,52,0,2020-03-30
巴哈马,10,0,0,2020-03-30
阿鲁巴,46,0,0,2020-03-30
塞舌尔,7,0,0,2020-03-30
巴巴多斯,24,0,0,2020-03-30
摩纳哥,46,1,0,2020-03-30
法属波利尼西亚,34,0,0,2020-03-30
不丹,3,0,0,2020-03-30
安提瓜和巴布达,7,0,0,2020-03-30
特克斯和凯科斯群岛,2,0,0,2020-03-30
冈比亚,4,0,1,2020-03-30
柬埔寨,103,21,0,2020-03-30
圣马丁岛,12,0,0,2020-03-30
伯利兹,2,0,0,2020-03-30
圣文森特和格林纳丁斯,1,0,0,2020-03-30
北马里亚纳群岛联邦,2,0,0,2020-03-30
斐济,5,0,0,2020-03-30
库拉索岛,7,0,1,2020-03-30
东帝汶,1,0,0,2020-03-30
格林那达,7,0,0,2020-03-30
圣卢西亚,3,0,0,2020-03-30
新喀里多尼亚,15,0,0,2020-03-30
老挝,6,0,0,2020-03-30
多米尼克,11,0,0,2020-03-30
圣其茨和尼维斯,2,0,0,2020-03-30
列支敦士登,61,0,0,2020-03-30
格陵兰,10,0,0,2020-03-30
梵蒂冈,6,0,0,2020-03-30
蒙特塞拉特,5,0,0,2020-03-30
巴布亚新几内亚,1,0,0,2020-03-30
文莱,127,38,1,2020-03-30
英属维尔京群岛,2,0,0,2020-03-30
圣巴泰勒米岛,5,0,0,2020-03-30
安圭拉,2,0,0,2020-03-30
新西兰,589,50,1,2020-03-30
圣巴泰勒米,5,0,0,2020-03-30
中国,157790,145168,6549,2020-03-31
美国,164603,5896,3170,2020-03-31
巴西,4579,0,159,2020-03-31
印度,1528,101,136,2020-03-31
英国,25150,135,1789,2020-03-31
俄罗斯,2337,121,17,2020-03-31
孟加拉国,51,25,5,2020-03-31
秘鲁,950,14,24,2020-03-31
墨西哥,1094,1,20,2020-03-31
西班牙,94417,14709,8189,2020-03-31
巴基斯坦,1836,57,20,2020-03-31
阿根廷,966,1,80,2020-03-31
埃及,656,150,41,2020-03-31
沙特阿拉伯,1563,165,10,2020-03-31
菲律宾,2084,49,88,2020-03-31
印度尼西亚,1528,64,136,2020-03-31
荷兰,12595,2954,1039,2020-03-31
伊拉克,630,152,46,2020-03-31
加拿大,7448,345,80,2020-03-31
乌克兰,548,8,13,2020-03-31
哈萨克斯坦,302,21,1,2020-03-31
危地马拉,34,0,1,2020-03-31
以色列,4831,161,16,2020-03-31
伊朗,44606,14656,2898,2020-03-31
阿曼,179,29,0,2020-03-31
尼日利亚,131,8,2,2020-03-31
土耳其,10827,105,131,2020-03-31
阿富汗,174,0,4,2020-03-31
亚美尼亚,532,30,3,2020-03-31
罗马尼亚,1952,206,50,2020-03-31
科威特,289,73,0,2020-03-31
阿联酋,664,61,6,2020-03-31
阿塞拜疆,273,26,4,2020-03-31
波兰,2055,13,31,2020-03-31
白俄罗斯,152,47,1,2020-03-31
肯尼亚,59,1,1,2020-03-31
吉尔吉斯斯坦,107,0,0,2020-03-31
巴勒斯坦,115,18,1,2020-03-31
摩尔多瓦,298,10,2,2020-03-31
乌兹别克斯坦,167,7,2,2020-03-31
尼泊尔,5,1,0,2020-03-31
萨尔瓦多,24,0,0,2020-03-31
日本,2124,404,59,2020-03-31
新加坡,926,183,3,2020-03-31
德国,61913,8481,583,2020-03-31
捷克,2976,25,23,2020-03-31
波黑,358,17,9,2020-03-31
保加利亚,359,3,8,2020-03-31
苏丹,7,0,2,2020-03-31
巴林,567,295,4,2020-03-31
卢森堡,1988,0,22,2020-03-31
加纳,152,2,5,2020-03-31
埃塞俄比亚,25,3,0,2020-03-31
毛里塔尼亚,5,2,0,2020-03-31
塞内加尔,175,40,0,2020-03-31
摩洛哥,574,15,33,2020-03-31
阿尔巴尼亚,223,10,10,2020-03-31
瑞士,16176,1823,373,2020-03-31
几内亚比绍,2,0,0,2020-03-31
韩国,9786,5408,162,2020-03-31
利比亚,8,0,0,2020-03-31
立陶宛,484,1,7,2020-03-31
拉脱维亚,376,0,0,2020-03-31
爱沙尼亚,715,20,3,2020-03-31
匈牙利,492,37,16,2020-03-31
塞浦路斯,230,0,6,2020-03-31
安哥拉,7,0,2,2020-03-31
叙利亚,10,0,1,2020-03-31
芬兰,1313,10,13,2020-03-31
斯洛文尼亚,756,0,11,2020-03-31
尼日尔,20,0,3,2020-03-31
格鲁吉亚,108,18,0,2020-03-31
圭亚那,31,0,0,2020-03-31
泰国,1651,127,10,2020-03-31
美属维尔京群岛,22,0,0,2020-03-31
钻石公主号邮轮,712,574,10,2020-03-31
乌拉圭,320,6,1,2020-03-31
毛里求斯,143,0,3,2020-03-31
南非,1326,1,3,2020-03-31
哥伦比亚,798,10,12,2020-03-31
瑞典,4028,17,146,2020-03-31
法国,44550,7924,3024,2020-03-31
厄瓜多尔,1890,0,57,2020-03-31
玻利维亚,74,0,0,2020-03-31
比利时,12775,1696,705,2020-03-31
巴拿马,989,4,24,2020-03-31
多米尼加,581,0,20,2020-03-31
洪都拉斯,139,0,3,2020-03-31
智利,2449,75,7,2020-03-31
葡萄牙,7443,22,160,2020-03-31
意大利,102106,14620,11591,2020-03-31
波多黎各,64,0,2,2020-03-31
塞尔维亚,900,0,23,2020-03-31
委内瑞拉,135,0,2,2020-03-31
哥斯达黎加,295,0,2,2020-03-31
法属圭亚那,31,0,0,2020-03-31
科特迪瓦,168,6,1,2020-03-31
海地,15,0,0,2020-03-31
阿尔及利亚,584,37,35,2020-03-31
刚果（金）,98,3,8,2020-03-31
北马其顿,259,1,6,2020-03-31
喀麦隆,193,3,2,2020-03-31
卡塔尔,693,51,2,2020-03-31
中非共和国,6,0,0,2020-03-31
马达加斯加,46,0,0,2020-03-31
丹麦,2577,1,77,2020-03-31
马约特,82,0,0,2020-03-31
尼加拉瓜,4,0,1,2020-03-31
加蓬,16,0,1,2020-03-31
澳大利亚,4557,119,19,2020-03-31
希腊,1212,19,43,2020-03-31
巴拉圭,64,0,3,2020-03-31
赤道几内亚,14,0,0,2020-03-31
索马里,3,0,0,2020-03-31
奥地利,9377,646,108,2020-03-31
古巴,119,0,3,2020-03-31
刚果（布）,19,0,0,2020-03-31
吉布提,25,0,0,2020-03-31
佛得角,5,1,1,2020-03-31
几内亚,22,1,0,2020-03-31
黑山,91,0,1,2020-03-31
克罗地亚,790,64,6,2020-03-31
贝宁,6,0,0,2020-03-31
黎巴嫩,463,35,12,2020-03-31
莫桑比克,8,0,0,2020-03-31
纳米比亚,11,0,0,2020-03-31
乍得,5,0,0,2020-03-31
马里,28,0,2,2020-03-31
赞比亚共和国,36,0,0,2020-03-31
牙买加,32,0,1,2020-03-31
斯威士兰,9,0,0,2020-03-31
津巴布韦,8,0,1,2020-03-31
卢旺达,70,0,0,2020-03-31
斯里兰卡,142,16,2,2020-03-31
圣马力诺,242,2,24,2020-03-31
多哥,34,10,1,2020-03-31
留尼旺,207,0,0,2020-03-31
挪威,4451,0,32,2020-03-31
塞拉利昂,1,0,0,2020-03-31
爱尔兰,2910,0,54,2020-03-31
马尔代夫,18,13,0,2020-03-31
斯洛伐克,336,7,0,2020-03-31
博茨瓦纳,3,0,0,2020-03-31
约旦,268,26,5,2020-03-31
安道尔,370,10,8,2020-03-31
坦桑尼亚,19,1,1,2020-03-31
马恩岛,42,0,0,2020-03-31
关岛,56,0,1,2020-03-31
马耳他,151,0,0,2020-03-31
泽西岛,63,0,2,2020-03-31
马来西亚,2766,537,43,2020-03-31
苏里南,8,0,0,2020-03-31
突尼斯,362,0,10,2020-03-31
马提尼克,105,0,2,2020-03-31
根西岛,39,0,0,2020-03-31
蒙古,12,0,0,2020-03-31
开曼群岛,8,0,1,2020-03-31
厄立特里亚,15,0,0,2020-03-31
法罗群岛,168,0,0,2020-03-31
直布罗陀,65,0,0,2020-03-31
瓜德罗普岛,96,0,2,2020-03-31
布基纳法索,246,31,12,2020-03-31
百慕大,22,0,0,2020-03-31
冰岛,1086,157,2,2020-03-31
乌干达,33,0,0,2020-03-31
特立尼达和多巴哥,76,0,3,2020-03-31
缅甸,15,0,1,2020-03-31
越南,207,52,0,2020-03-31
巴哈马,10,0,0,2020-03-31
阿鲁巴,46,0,0,2020-03-31
巴巴多斯,26,0,0,2020-03-31
摩纳哥,49,1,1,2020-03-31
法属波利尼西亚,35,0,0,2020-03-31
不丹,3,0,0,2020-03-31
安提瓜和巴布达,7,0,0,2020-03-31
特克斯和凯科斯群岛,2,0,0,2020-03-31
荷属圣马丁,0,0,0,2020-03-31
冈比亚,4,0,1,2020-03-31
柬埔寨,103,21,0,2020-03-31
圣马丁岛,12,0,0,2020-03-31
伯利兹,2,0,0,2020-03-31
北马里亚纳群岛联邦,2,0,0,2020-03-31
斐济,5,0,0,2020-03-31
库拉索岛,7,0,1,2020-03-31
格林那达,7,0,0,2020-03-31
圣卢西亚,3,0,0,2020-03-31
新喀里多尼亚,15,0,0,2020-03-31
老挝,6,0,0,2020-03-31
多米尼克,11,0,0,2020-03-31
圣其茨和尼维斯,2,0,0,2020-03-31
列支敦士登,62,0,0,2020-03-31
格陵兰,10,0,0,2020-03-31
梵蒂冈,6,0,0,2020-03-31
蒙特塞拉特,5,0,0,2020-03-31
文莱,129,45,1,2020-03-31
英属维尔京群岛,2,0,0,2020-03-31
圣巴泰勒米岛,5,0,0,2020-03-31
安圭拉,2,0,0,2020-03-31
新西兰,600,50,1,2020-03-31
圣巴泰勒米,5,0,0,2020-03-31
中国,156654,144292,6569,2020-04-01
美国,189633,7136,4081,2020-04-01
巴西,5717,0,201,2020-04-01
印度,1637,133,38,2020-04-01
英国,29474,135,2352,2020-04-01
俄罗斯,2777,190,24,2020-04-01
孟加拉国,54,25,6,2020-04-01
秘鲁,1065,394,30,2020-04-01
墨西哥,1215,1,29,2020-04-01
西班牙,102136,14709,9053,2020-04-01
巴基斯坦,1940,58,26,2020-04-01
阿根廷,1054,240,27,2020-04-01
埃及,710,150,46,2020-04-01
沙特阿拉伯,1720,264,16,2020-04-01
菲律宾,2311,50,96,2020-04-01
印度尼西亚,1677,64,157,2020-04-01
荷兰,13614,2954,1173,2020-04-01
伊拉克,694,170,50,2020-04-01
加拿大,9017,1592,105,2020-04-01
乌克兰,669,10,17,2020-04-01
哈萨克斯坦,343,24,2,2020-04-01
危地马拉,36,0,1,2020-04-01
以色列,5591,226,21,2020-04-01
伊朗,47593,15473,3036,2020-04-01
阿曼,210,34,1,2020-04-01
尼日利亚,151,9,2,2020-04-01
土耳其,13531,243,214,2020-04-01
阿富汗,196,0,5,2020-04-01
亚美尼亚,571,31,3,2020-04-01
罗马尼亚,2245,220,69,2020-04-01
科威特,317,73,0,2020-04-01
阿联酋,664,61,6,2020-04-01
阿塞拜疆,298,26,5,2020-04-01
波兰,2311,13,33,2020-04-01
白俄罗斯,157,47,2,2020-04-01
肯尼亚,81,3,1,2020-04-01
吉尔吉斯斯坦,111,0,0,2020-04-01
巴勒斯坦,134,18,1,2020-04-01
摩尔多瓦,353,22,4,2020-04-01
乌兹别克斯坦,172,7,2,2020-04-01
尼泊尔,5,1,0,2020-04-01
萨尔瓦多,30,0,0,2020-04-01
日本,2490,404,68,2020-04-01
新加坡,1000,183,3,2020-04-01
德国,67366,8481,732,2020-04-01
捷克,3257,45,31,2020-04-01
波黑,409,17,12,2020-04-01
保加利亚,399,3,8,2020-04-01
苏丹,7,0,2,2020-04-01
巴林,569,316,4,2020-04-01
卢森堡,2178,0,23,2020-04-01
加纳,195,3,5,2020-04-01
埃塞俄比亚,29,2,0,2020-04-01
毛里塔尼亚,6,2,1,2020-04-01
塞内加尔,190,45,1,2020-04-01
摩洛哥,638,24,36,2020-04-01
阿尔巴尼亚,243,10,15,2020-04-01
瑞士,17139,1823,378,2020-04-01
几内亚比绍,2,0,0,2020-04-01
韩国,9887,5567,165,2020-04-01
利比亚,8,0,0,2020-04-01
立陶宛,533,1,8,2020-04-01
拉脱维亚,398,0,0,2020-04-01
爱沙尼亚,745,20,4,2020-04-01
匈牙利,525,40,20,2020-04-01
